Tea_ID,Tea_Type,Region,Site,Plot,Lat,Lon,Elevation,Initial,Depth,Burial,Recovery,Days,Season,Season2,Snow_Days,Final,Label,Tea_init,Tea_final,Loss,Treatment,Contributor,Soil moisture,Additional information
AUS_91_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Winter_2,-36.83058,147.32503,1880,2.305,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,169,1.5353,No,1.941,1.41176,0.27,None,Susanna Venn,,
AUS_92_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Winter_2,-36.83058,147.32503,1880,2.279,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,169,1.4924,No,1.916,1.36886,0.29,None,Susanna Venn,,
AUS_93_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Winter_2,-36.83058,147.32503,1880,2.238,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,169,1.4872,No,1.877,1.36366,0.27,None,Susanna Venn,,
AUS_94_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Winter_2,-36.83058,147.32503,1880,2.189,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,169,1.5486,No,1.831,1.42506,0.22,None,Susanna Venn,,
AUS_95_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Winter_2,-36.83058,147.32503,1880,2.25,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,169,1.5442,No,1.889,1.42066,0.25,None,Susanna Venn,,
AUS_96_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Winter_2,-36.83058,147.32503,1880,2.155,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,169,1.4017,No,1.799,1.27816,0.29,None,Susanna Venn,,
AUS_97_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Winter_1,-36.83058,147.32503,1880,2.19,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,153,1.3682,No,1.832,1.24466,0.32,None,Susanna Venn,,
AUS_98_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Winter_1,-36.83058,147.32503,1880,2.287,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,153,1.4032,No,1.924,1.27966,0.33,None,Susanna Venn,,
AUS_99_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Winter_1,-36.83058,147.32503,1880,2.111,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,153,1.4104,No,1.758,1.28686,0.27,None,Susanna Venn,,
AUS_100_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Winter_1,-36.83058,147.32503,1880,2.254,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,153,1.4554,No,1.893,1.33186,0.3,None,Susanna Venn,,
AUS_101_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Winter_1,-36.83058,147.32503,1880,2.267,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,153,1.4121,No,1.905,1.28856,0.32,None,Susanna Venn,,
AUS_102_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Winter_1,-36.83058,147.32503,1880,2.3,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,153,1.4808,No,1.936,1.35726,0.3,None,Susanna Venn,,
AUS_103_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Winter_2,-36.83058,147.32503,1880,2.24,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,153,1.4519,No,1.879,1.32836,0.29,None,Susanna Venn,,
AUS_104_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Winter_2,-36.83058,147.32503,1880,2.248,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,153,1.4617,No,1.887,1.33816,0.29,None,Susanna Venn,,
AUS_105_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Winter_2,-36.83058,147.32503,1880,2.298,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,153,1.4536,No,1.934,1.33006,0.31,None,Susanna Venn,,
